trial_id,class_name,real_angle_rad,is_grasped
1,can,3.132,False
2,can,3.705,True
1,pet bottle,3.177,False
2,can,3.904,True
3,pet bottle,3.197,False
4,can,3.134,False
1,can,3.62,True
2,pet bottle,3.129,False
3,pet bottle,3.129,False
4,pet bottle,3.129,False
5,styrofoam,3.174,False
1,can,3.128,False
2,pet bottle,3.306,True
3,pet bottle,3.129,False
4,pet bottle,3.132,False
5,can,3.132,False
6,pet bottle,3.132,False
7,pet bottle,3.128,False
8,can,3.128,False
9,can,3.866,True
1,can,3.131,False
2,can,3.132,False
3,can,3.132,False
4,can,3.129,False
5,can,3.128,False
6,pet bottle,3.129,False
7,pet bottle,3.129,False
8,pet bottle,3.126,False
9,pet bottle,3.217,True
10,pet bottle,3.132,False
11,styrofoam,3.174,False
12,can,3.128,False
13,can,3.812,True
14,styrofoam,3.129,False
15,styrofoam,3.129,False
16,styrofoam,3.132,False
17,pet bottle,3.128,False
18,pet bottle,3.177,False
19,styrofoam,3.186,False
20,can,3.62,True
21,pet bottle,3.128,False
22,pet bottle,3.154,False
